species_id,species_code,local_name,species_group,roy_class,is_dipterocarp
1,ACSA,ACH SAT,7,NONCLASS ,0
2,ADCH,ACHDERK,7,NONCLASS ,0
3,AKSL,ANGKEA SEL,7,NONCLASS ,0
4,AMBB,AMBENG BEK,7,NONCLASS ,0
5,AMCN,AMBENG CHAN,7,NONCLASS ,0
6,AMPI,AMPIL TOEUK PREY,7,NONCLASS ,0
7,ANCH,ANGKOCH,7,NONCLASS ,0
8,ANKB,ANGKEA BOS,7,NONCLASS ,0
9,ANKM,ANGKOT KHMAU,5,LUX,0
10,ANKN,ANGKANH,6,LUX,0
11,ANKT,ANGKAT TMAAT,6,FIRST,0
12,ANOM,ANGKRANG PHNOM,6,NONCLASS ,0
13,ANRD,ANGRE DEK,7,NONCLASS ,0
14,APEN,APHEAN,7,NONCLASS ,0
15,ATES,ATES,7,NONCLASS ,0
16,ATNG,ATEANG/ROTEANG,6,THIRD,0
17,ATSR,ANNTUNG SOR,7,NONCLASS ,0
18,ATTT,ATITH/NEANG PHOR EK ,5,SECOND,0
19,BADM,BAK DERM,6,NONCLASS ,0
20,BAKG,BANGKANG,6,NONCLASS ,0
21,BAKK,BANGKONG KENGKONG,7,NONCLASS ,0
22,BAKP,BAKPAO,7,NONCLASS ,0
23,BBOK,BOR BORK,7,NONCLASS ,0
24,BDNG,BAKDORNG,6,NONCLASS ,0
25,BELY,BELOY,6,FIRST,0
26,BENG,BENG,5,LUX,0
27,BKSV,BANGKEOU SVA,6,NONCLASS ,0
28,BNKO,BAG KHEOU,6,THIRD,0
29,BOPR,BO PROEUK,7,NONCLASS ,0
30,BRCH,BROR CHOK,7,NONCLASS ,0
31,BSNK,BOSNEAK,5,FIRST,0
32,BTIL,BATPHTIL,7,NONCLASS ,0
33,BYPV,BAY POU VAING,6,THIRD,0
34,CABB,CHAM BAK BARAING,7,NONCLASS ,0
35,CASA,KHCHOENG,6,THIRD,0
36,CCHB,CHOEUNG CHAB,6,LUX,0
37,CHBG,CHHOETEAL BANGKOUNEANGO,2,SECOND,1
38,CHBK,CHAM BAK,5,NONCLASS ,0
39,CHBR,CHHOETEAL BRENG,2,SECOND,1
40,CHCK,CHHOENG CHKER,7,NONCLASS ,0
41,CHEK,CHANG ENG SEK,7,NONCLASS ,0
42,CHHA,CHHAR,7,NONCLASS ,0
43,CHHU,CHHOM POU PREY,7,NONCLASS ,0
44,CHKG,CHEUNG KRORVAING,7,NONCLASS ,0
45,CHKM,CHHOEU KHMAV/NEANG KHMAV,5,LUX,0
46,CHKO,CHOEUNG KO,5,NONCLASS ,0
47,CHKP,CHUNGKONG PHON,7,NONCLASS ,0
48,CHKR,CHAN KRASNA,5,THIRD,0
49,CHKU,CHEUNG KRAPEU,7,NONCLASS ,0
50,CHLK,CHHLIK,5,FIRST,0
51,CHLS,CHORNLOS,7,NONCLASS ,0
52,CHMC,CHHAM CHHA,5,SECOND,0
53,CHMI,CHHOETEAL MOSAU,2,SECOND,1
54,CHMK,CHAMRIEK,6,NONCLASS ,0
55,CHNA,CHANG NANG,7,NONCLASS ,0
56,CHNO,CHNOK,7,NONCLASS ,0
57,CHNY,CHORNY,6,NONCLASS ,0
58,CHOV,CHOV,7,NONCLASS ,0
59,CHPL,CHHOE PHLOEUNG,6,NONCLASS ,0
60,CHPS,CHHOETEAL PREUS,7,NONCLASS ,0
61,CHRH,CHORCHONG,3,SECOND,1
62,CHRK,CHRAKENG,6,NONCLASS ,0
63,CHRM,CHANG KONG ROMEANG,6,NONCLASS ,0
64,CHRS,CHREIS,6,LUX,0
65,CHTP,CHAN TOUM PEANG,5,THIRD,0
66,CHTR,CHHOETEAL CHHNGAR,2,SECOND,1
67,CHTU,CHNOK TROU,7,NONCLASS ,0
68,CHUT,CHORNG UOR THMAT,6,THIRD,0
69,CKTM,CHEK TUM,6,THIRD,0
70,CREY,CHREY,6,NONCLASS ,0
71,CRMS,CHRASMAS,3,SECOND,1
72,CTES,CHORNTESPLOUK,7,NONCLASS ,0
73,DAKD,DANG KEAP KDAM,7,NONCLASS ,0
74,DCSP,DONCHERM  ,5,FIRST,0
75,DGPR,DANGKEABPROEUS,7,NONCLASS ,0
76,DKOR,DONGKOR,6,NONCLASS ,0
77,DKPO,DOKPO,7,NONCLASS ,0
78,DNKY,DOUNKAY,7,NONCLASS ,0
79,DOKM,DOK MEY,6,NONCLASS ,0
